"count","bin","cortex","gene","mouse","cell_num","hemisphere","age"
0,78,"cortex","Bcl11b","1","1010","left","12"
0,75,"cortex","Bcl11b","1","1014","left","12"
0,80,"cortex","Bcl11b","1","1018","left","12"
1,73,"cortex","Bcl11b","1","1019","left","12"
0,75,"cortex","Bcl11b","1","1020","left","12"
0,75,"cortex","Bcl11b","1","1021","left","12"
0,73,"cortex","Bcl11b","1","1022","left","12"
0,74,"cortex","Bcl11b","1","1023","left","12"
0,76,"cortex","Bcl11b","1","1024","left","12"
0,75,"cortex","Bcl11b","1","1026","left","12"
0,74,"cortex","Bcl11b","1","1028","left","12"
0,73,"cortex","Bcl11b","1","1031","left","12"
0,74,"cortex","Bcl11b","1","1037","left","12"
0,96,"cortex","Bcl11b","1","1038","left","12"
0,98,"cortex","Bcl11b","1","1039","left","12"
0,97,"cortex","Bcl11b","1","1040","left","12"
0,93,"cortex","Bcl11b","1","1041","left","12"
0,99,"cortex","Bcl11b","1","1042","left","12"
0,97,"cortex","Bcl11b","1","1043","left","12"
0,92,"cortex","Bcl11b","1","1044","left","12"
0,98,"cortex","Bcl11b","1","1045","left","12"
0,92,"cortex","Bcl11b","1","1046","left","12"
0,99,"cortex","Bcl11b","1","1047","left","12"
0,98,"cortex","Bcl11b","1","1048","left","12"
1,99,"cortex","Bcl11b","1","1049","left","12"
0,93,"cortex","Bcl11b","1","1050","left","12"
0,99,"cortex","Bcl11b","1","1051","left","12"
0,96,"cortex","Bcl11b","1","1052","left","12"
0,93,"cortex","Bcl11b","1","1053","left","12"
0,96,"cortex","Bcl11b","1","1054","left","12"
1,91,"cortex","Bcl11b","1","1055","left","12"
0,95,"cortex","Bcl11b","1","1056","left","12"
0,91,"cortex","Bcl11b","1","1057","left","12"
0,95,"cortex","Bcl11b","1","1058","left","12"
0,99,"cortex","Bcl11b","1","1059","left","12"
0,92,"cortex","Bcl11b","1","1060","left","12"
0,93,"cortex","Bcl11b","1","1061","left","12"
0,94,"cortex","Bcl11b","1","1062","left","12"
0,90,"cortex","Bcl11b","1","1063","left","12"
0,95,"cortex","Bcl11b","1","1064","left","12"
0,94,"cortex","Bcl11b","1","1065","left","12"
0,91,"cortex","Bcl11b","1","1066","left","12"
0,92,"cortex","Bcl11b","1","1067","left","12"
0,88,"cortex","Bcl11b","1","1068","left","12"
1,98,"cortex","Bcl11b","1","1069","left","12"
0,96,"cortex","Bcl11b","1","1070","left","12"
0,94,"cortex","Bcl11b","1","1071","left","12"
0,90,"cortex","Bcl11b","1","1072","left","12"
0,92,"cortex","Bcl11b","1","1073","left","12"
0,95,"cortex","Bcl11b","1","1074","left","12"
1,94,"cortex","Bcl11b","1","1075","left","12"
0,99,"cortex","Bcl11b","1","1076","left","12"
